client_name,industry,audience_id,audience_name,segment_id,segment_name,created_at,distributed
Hack CPG Demo,CPG,1,Digital Omnichannel Shopper - Wishlist User,626558140458408108,Preferred_Shopping_Channel > Mobile,2026-01-01,true
Hack CPG Demo,CPG,1,Digital Omnichannel Shopper - Wishlist User,626558140458406075,Mobile_App_User > Y,2026-01-01,true
Hack CPG Demo,CPG,1,Digital Omnichannel Shopper - Wishlist User,626558140458404070,Wishlist_User > Y,2026-01-01,true
Hack CPG Demo,CPG,1,Digital Omnichannel Shopper - Wishlist User,626558140458406047,Email_Engagement_Level > High,2026-01-01,true
Hack CPG Demo,CPG,1,Digital Omnichannel Shopper - Wishlist User,626558140458408023,Online_Shopping_Frequency > Weekly,2026-01-01,true
Hack CPG Demo,CPG,1,Digital Omnichannel Shopper - Wishlist User,626558140458401914,Preferred_Contact_Time > Morning,2026-01-01,true
Hack CPG Demo,CPG,1,Digital Omnichannel Shopper - Wishlist User,626558140458402538,Region > Northeast,2026-01-01,true
Hack CPG Demo,CPG,2,Scalp Health Care - Age 56,626558140458406021,Scalp_Care_Routine_User > Y,2026-04-26,true
Hack CPG Demo,CPG,2,Scalp Health Care - Age 56,626558140458404017,Hair_Concern_Primary > HairLoss,2026-04-26,true
Hack CPG Demo,CPG,2,Scalp Health Care - Age 56,626558140458402576,Age > 56,2026-04-26,true
Hack CPG Demo,CPG,2,Scalp Health Care - Age 56,626558140458406109,Dermatologist_Recommended_Product_Preference > Y,2026-04-26,true
Hack CPG Demo,CPG,2,Scalp Health Care - Age 56,626558140458401854,Kerastase_Purchase_History > Y,2026-04-26,true
Hack CPG Demo,CPG,3,Sensitive Skin Gentle Care - Derm Recommended,626558140458408047,Skin_Type > Sensitive,2026-04-10,false
Hack CPG Demo,CPG,3,Sensitive Skin Gentle Care - Derm Recommended,626558140458402443,Skin_Concern_Primary > Sensitivity,2026-04-10,false
Hack CPG Demo,CPG,3,Sensitive Skin Gentle Care - Derm Recommended,626558140458406109,Dermatologist_Recommended_Product_Preference > Y,2026-04-10,false
Hack CPG Demo,CPG,3,Sensitive Skin Gentle Care - Derm Recommended,626558140458402400,Cleansing_Spend_Tier > High,2026-04-10,false
Hack CPG Demo,CPG,3,Sensitive Skin Gentle Care - Derm Recommended,626558140458408043,Clinical_Skincare_Interest > Y,2026-04-10,false
Hack CPG Demo,CPG,3,Sensitive Skin Gentle Care - Derm Recommended,626558140458407946,Vichy_Purchase_History > Y,2026-04-10,false
Hack CPG Demo,CPG,3,Sensitive Skin Gentle Care - Derm Recommended,626558140458402402,Urban_Rural_Classification > Rural,2026-04-10,false
Hack CPG Demo,CPG,3,Sensitive Skin Gentle Care - Derm Recommended,626558140458402538,Region > Northeast,2026-04-10,false
Hack CPG Demo,CPG,4,Scalp Health Care - Vichy Buyer,626558140458406021,Scalp_Care_Routine_User > Y,2026-06-08,true
Hack CPG Demo,CPG,4,Scalp Health Care - Vichy Buyer,626558140458404017,Hair_Concern_Primary > HairLoss,2026-06-08,true
Hack CPG Demo,CPG,4,Scalp Health Care - Vichy Buyer,626558140458407946,Vichy_Purchase_History > Y,2026-06-08,true
Hack CPG Demo,CPG,4,Scalp Health Care - Vichy Buyer,626558140458406312,Wellness_Beauty_Supplement_User > Y,2026-06-08,true
Hack CPG Demo,CPG,5,Gen Z Social Beauty Explorer - Influencer Content Engagement High,626558140458403896,Generation_Cohort > GenZ,2026-06-06,true
Hack CPG Demo,CPG,5,Gen Z Social Beauty Explorer - Influencer Content Engagement High,626558140458406295,Primary_Social_Platform > Instagram,2026-06-06,true
Hack CPG Demo,CPG,5,Gen Z Social Beauty Explorer - Influencer Content Engagement High,626558140458404175,Influencer_Content_Engagement_Level > High,2026-06-06,true
Hack CPG Demo,CPG,5,Gen Z Social Beauty Explorer - Influencer Content Engagement High,626558140458404245,Beauty_Product_Unboxing_Content_Viewer > Y,2026-06-06,true
Hack CPG Demo,CPG,5,Gen Z Social Beauty Explorer - Influencer Content Engagement High,626558140458404038,Household_Income_Range > 30K-50K,2026-06-06,true
Hack CPG Demo,CPG,6,Anti-Aging Prestige - 150-200K Income,626558140458402439,Skin_Concern_Primary > Aging,2026-02-12,false
Hack CPG Demo,CPG,6,Anti-Aging Prestige - 150-200K Income,626558140458401916,Anti_Aging_Product_Interest > Y,2026-02-12,false
Hack CPG Demo,CPG,6,Anti-Aging Prestige - 150-200K Income,626558140458404039,Household_Income_Range > 150K-200K,2026-02-12,false
Hack CPG Demo,CPG,6,Anti-Aging Prestige - 150-200K Income,626558140458402538,Region > Northeast,2026-02-12,false
Hack CPG Demo,CPG,7,Med-Spa and Clinical Treatment - Facial Treatment Service User,626558140458402496,Med_Spa_Treatment_User > Y,2025-12-06,false
Hack CPG Demo,CPG,7,Med-Spa and Clinical Treatment - Facial Treatment Service User,626558140458408043,Clinical_Skincare_Interest > Y,2025-12-06,false
Hack CPG Demo,CPG,7,Med-Spa and Clinical Treatment - Facial Treatment Service User,626558140458406053,Facial_Treatment_Service_User > Y,2025-12-06,false
Hack CPG Demo,CPG,7,Med-Spa and Clinical Treatment - Facial Treatment Service User,626558140458402539,Region > Midwest,2025-12-06,false
Hack CPG Demo,CPG,8,Heavy Makeup User - IT Cosmetics Buyer,626558140458408015,Makeup_Usage_Frequency > Daily,2025-12-21,false
Hack CPG Demo,CPG,8,Heavy Makeup User - IT Cosmetics Buyer,626558140458408029,Makeup_Spend_Tier > Premium,2025-12-21,false
Hack CPG Demo,CPG,8,Heavy Makeup User - IT Cosmetics Buyer,626558140458402394,IT_Cosmetics_Purchase_History > Y,2025-12-21,false
Hack CPG Demo,CPG,8,Heavy Makeup User - IT Cosmetics Buyer,626558140458406363,Foundation_Category_Purchase_Frequency > Monthly,2025-12-21,false
Hack CPG Demo,CPG,8,Heavy Makeup User - IT Cosmetics Buyer,626558140458406041,Primary_Device_Type > Desktop,2025-12-21,false
Hack CPG Demo,CPG,8,Heavy Makeup User - IT Cosmetics Buyer,626558140458401879,Seasonal_Shopper_Type > WinterShopper,2025-12-21,false
Hack CPG Demo,CPG,9,Affluent Skincare Enthusiast - Doctorate,626558140458404041,Household_Income_Range > 300K+,2026-07-19,true
